Currency,Date,Closing Price (VND),Open (VND),High (VND),Low (VND),,,
VNINDEX,6/26/2015,581.75,586.04,592.59,581.75,,,
VNINDEX,6/29/2015,591.75,580.16,591.75,579.61,,,
VNINDEX,6/30/2015,593.05,588.77,598.98,588.77,,,
VNINDEX,7/1/2015,591.5,594.52,594.52,587.33,,,
VNINDEX,7/2/2015,605.7,591.5,605.7,590.52,,,
VNINDEX,7/3/2015,616.43,608.82,617.96,608.82,,,
VNINDEX,7/6/2015,625.22,618.75,625.34,618.65,,,
VNINDEX,7/7/2015,630.27,623.89,633.73,620.59,,,
VNINDEX,7/8/2015,623.17,630.4,634.13,617.29,,,
VNINDEX,7/9/2015,622.1,616.2,626.38,613.34,,,
VNINDEX,7/10/2015,627.28,627.56,630.79,624.7,,,
VNINDEX,7/13/2015,634.06,631.56,637.07,627.69,,,
VNINDEX,7/14/2015,638.69,635.55,640.43,628.43,,,
VNINDEX,7/15/2015,630.89,640.43,641.06,630.89,,,
VNINDEX,7/16/2015,626.9,627.32,632.21,622.57,,,
VNINDEX,7/17/2015,628.63,628.45,631.67,626.21,,,
VNINDEX,7/20/2015,620.54,624.84,624.84,616.11,,,
VNINDEX,7/21/2015,616.61,619.9,624.47,613.83,,,
VNINDEX,7/22/2015,629.85,614.56,629.94,613.58,,,
VNINDEX,7/23/2015,632.01,632.07,637.91,631.43,,,
VNINDEX,7/24/2015,631.26,633.27,634.61,627.99,,,
VNINDEX,7/27/2015,635.46,629.68,636.84,629.42,,,
VNINDEX,7/28/2015,631.47,636.58,639.54,631.47,,,
VNINDEX,7/29/2015,624.7,632,634.64,624.7,,,
VNINDEX,7/30/2015,626.57,625.46,627.11,622.43,,,
VNINDEX,7/31/2015,621.06,628.31,629.97,621.06,,,
VNINDEX,8/3/2015,609.47,617.12,617.12,605.63,,,
VNINDEX,8/4/2015,600.76,607.95,609.91,600.76,,,
VNINDEX,8/5/2015,607.08,600.68,608.21,600.68,,,
VNINDEX,8/6/2015,601.04,607.84,609.31,600.85,,,
VNINDEX,8/7/2015,603.76,601.57,604.04,597.75,,,
VNINDEX,8/10/2015,614.53,603.82,614.53,603.82,,,
VNINDEX,8/11/2015,613.05,615.17,619.69,611.17,,,
VNINDEX,8/12/2015,604.24,609.33,611.46,602.01,,,
VNINDEX,8/13/2015,594.26,603.31,603.31,590.44,,,
VNINDEX,8/14/2015,589.03,592.8,598.55,585.97,,,
VNINDEX,8/17/2015,573.15,588.67,591.2,571.26,,,
VNINDEX,8/18/2015,580.22,571.31,580.22,571.22,,,
VNINDEX,8/19/2015,577.82,576.44,580.99,569.21,,,
VNINDEX,8/20/2015,566.69,577.82,577.82,565.09,,,
VNINDEX,8/21/2015,556.3,559.34,559.97,542.31,,,
VNINDEX,8/24/2015,526.93,550.48,550.48,523.55,,,
VNINDEX,8/25/2015,529.98,511.13,535.48,511.13,,,
VNINDEX,8/26/2015,545.89,530.05,545.89,530.05,,,
VNINDEX,8/27/2015,555.81,551.89,558.93,551.44,,,
VNINDEX,8/28/2015,570.87,561.36,570.87,559.35,,,
VNINDEX,8/31/2015,564.75,573.1,573.1,563.99,,,
VNINDEX,9/1/2015,562.31,565.75,569.18,561.28,,,
VNINDEX,9/3/2015,554.3,559.32,561.43,551.47,,,
VNINDEX,9/4/2015,556.81,554.85,558.9,554.77,,,
VNINDEX,9/7/2015,554.93,557.07,560.09,554.44,,,
VNINDEX,9/8/2015,566.72,554.48,566.72,554.34,,,
VNINDEX,9/9/2015,572.34,574.06,574.73,569.69,,,
VNINDEX,9/10/2015,572.07,567.51,576.13,567.09,,,
VNINDEX,9/11/2015,566.74,572.14,573.99,566.18,,,
VNINDEX,9/14/2015,562.17,569.21,572.25,561.46,,,
VNINDEX,9/15/2015,563.27,564.38,565.05,561.1,,,
VNINDEX,9/16/2015,564.13,561.86,564.82,561.69,,,
VNINDEX,9/17/2015,562.48,563.93,565.85,562.48,,,
VNINDEX,9/18/2015,566.25,564.69,569.5,564.69,,,
VNINDEX,9/21/2015,572.12,566.74,572.26,565.16,,,
VNINDEX,9/22/2015,573.2,573.09,575.17,570.26,,,
VNINDEX,9/23/2015,572.72,570.64,573.85,569.51,,,
VNINDEX,9/24/2015,570.25,573.5,575.36,570.12,,,
VNINDEX,9/25/2015,570.38,570.41,572.09,567.71,,,
VNINDEX,9/28/2015,564.88,571.29,572.15,564.88,,,
VNINDEX,9/29/2015,561.19,559.83,561.76,557.65,,,
VNINDEX,9/30/2015,562.64,562.5,565.65,562.5,,,
VNINDEX,10/1/2015,563.54,563.39,565.63,563.23,,,
VNINDEX,10/2/2015,562.31,563.33,565.01,561.73,,,
VNINDEX,10/5/2015,570,564.58,570,563.95,,,
VNINDEX,10/6/2015,581.29,577.45,581.38,574.63,,,
VNINDEX,10/7/2015,579.57,583.97,587.3,579.57,,,
VNINDEX,10/8/2015,586.78,580.04,588.35,579.82,,,
VNINDEX,10/9/2015,588.02,590.91,593.02,587.57,,,
VNINDEX,10/12/2015,592.1,587.72,594.74,587.25,,,
VNINDEX,10/13/2015,590.84,589.09,591.66,588.54,,,
VNINDEX,10/14/2015,589.98,592.45,593.73,589.62,,,
VNINDEX,10/15/2015,592.4,591.36,594.17,588.98,,,
VNINDEX,10/16/2015,593.02,592.4,599.74,592.4,,,
VNINDEX,10/19/2015,594.61,593.87,598.11,591.6,,,
VNINDEX,10/20/2015,590.45,594.97,596.37,588.26,,,
VNINDEX,10/21/2015,590.24,590.43,594.5,589.84,,,
VNINDEX,10/22/2015,595.08,590.24,595.81,589.74,,,
VNINDEX,10/23/2015,601.74,598.55,602.55,598.25,,,
VNINDEX,10/26/2015,598.61,604.41,606.79,598.61,,,
VNINDEX,10/27/2015,598.44,597.8,600.51,595.62,,,
VNINDEX,10/28/2015,596.24,599.09,601.09,596.24,,,
VNINDEX,10/29/2015,605.2,599.32,605.2,598.8,,,
VNINDEX,10/30/2015,607.37,605.49,608.01,603.93,,,
VNINDEX,11/2/2015,602.76,607.93,610.17,601.99,,,
VNINDEX,11/3/2015,611.71,605.32,611.71,600.46,,,
VNINDEX,11/4/2015,610.6,614.29,617.93,610.6,,,
VNINDEX,11/5/2015,615.18,609.49,616.46,608.53,,,
VNINDEX,11/6/2015,612.36,615.54,617.79,608.89,,,
VNINDEX,11/9/2015,610.66,612.29,613.79,610.35,,,
VNINDEX,11/10/2015,605.27,609.3,610.6,605.08,,,
VNINDEX,11/11/2015,603.53,604.13,609.24,603.34,,,
VNINDEX,11/12/2015,605.58,602.02,605.58,595.86,,,
VNINDEX,11/13/2015,611.27,604.41,611.27,603.72,,,
VNINDEX,11/16/2015,609.21,609.77,611.92,605.39,,,
VNINDEX,11/17/2015,605.05,609.46,611.18,605.05,,,
VNINDEX,11/18/2015,603.34,603.32,606.62,602.13,,,
VNINDEX,11/19/2015,601.9,604.38,605.56,600.84,,,
VNINDEX,11/20/2015,604.46,602.11,606.58,601.9,,,
VNINDEX,11/23/2015,599.99,605.89,607.69,599.99,,,
VNINDEX,11/24/2015,593.83,599.81,599.94,590.41,,,
VNINDEX,11/25/2015,595.7,593.24,596.92,588.1,,,
VNINDEX,11/26/2015,590.4,593.12,594.67,590.39,,,
VNINDEX,11/27/2015,582.86,589.09,591.84,582.86,,,
VNINDEX,11/30/2015,573.2,581.39,581.65,571.12,,,
VNINDEX,12/1/2015,570.41,573.39,577.58,570.41,,,
VNINDEX,12/2/2015,574.42,571.01,577.03,571.01,,,
VNINDEX,12/3/2015,574.38,574.04,576.84,573.2,,,
VNINDEX,12/4/2015,571.62,574,574.69,567.95,,,
VNINDEX,12/7/2015,563.62,570.12,571.2,563.41,,,
VNINDEX,12/8/2015,574.15,561,574.15,556.92,,,
VNINDEX,12/9/2015,565.2,575.08,576.63,565.2,,,
VNINDEX,12/10/2015,561.04,564.86,567.62,561.04,,,
VNINDEX,12/11/2015,563.43,560.99,567.13,559.73,,,
VNINDEX,12/14/2015,562.22,564.14,566.28,560.99,,,
VNINDEX,12/15/2015,568,563.3,568.74,563.3,,,
VNINDEX,12/16/2015,572.55,570.36,575.54,570.36,,,
VNINDEX,12/17/2015,577.11,572.55,579.18,572.55,,,
VNINDEX,12/18/2015,568.18,574.66,578,568.18,,,
VNINDEX,12/21/2015,566.9,570.45,571.28,565.35,,,
VNINDEX,12/22/2015,566.35,567.88,570.86,565.48,,,
VNINDEX,12/23/2015,564.27,564.93,568.16,562.3,,,
VNINDEX,12/24/2015,566.17,566.65,567.8,565.62,,,
VNINDEX,12/25/2015,567.67,566.6,570.49,566.6,,,
VNINDEX,12/28/2015,569.9,570.57,572.92,569.4,,,
VNINDEX,12/29/2015,576.29,569.4,576.29,566.49,,,
VNINDEX,12/30/2015,579.45,576.5,579.45,575.71,,,
VNINDEX,12/31/2015,579.03,579.12,580.82,575.73,,,
VNINDEX,1/4/2016,574.41,579.03,579.97,573.15,,,
